ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
grid_000000,10.0,40.0,POINT (10 40),EU,SS,132.98618950531963,C,0.0,147.71368,32.286316,0.20841128
grid_000001,10.2,40.0,POINT (10.2 40),EU,TF,124.05485540815897,C,0.0,150.41234,29.587662,0.21449143
grid_000002,10.4,40.0,POINT (10.4 40),EU,TF,117.59615159553412,C,0.0,150.36862,29.631378,0.18993929
grid_000003,10.6,40.0,POINT (10.6 40),EU,TF,113.10279692284229,C,0.0,150.32913,29.670868,0.19328277
grid_000004,10.8,40.0,POINT (10.8 40),EU,TF,107.72962384777578,C,0.0,150.28123,29.718765,0.19783762
grid_000005,11.0,40.0,POINT (11 40),EU,TF,104.05705813021233,C,0.0,150.24895,29.751053,0.20149225
grid_000006,11.2,40.0,POINT (11.2 40),EU,TF,103.21147309184569,C,0.0,150.24179,29.75821,0.2047762
grid_000007,11.4,40.0,POINT (11.4 40),EU,TF,102.7713361780553,C,0.0,150.23782,29.762177,0.19226451
grid_000008,11.6,40.0,POINT (11.6 40),EU,TF,104.98884747004878,C,0.0,150.25732,29.742676,0.1759776
grid_000009,11.8,40.0,POINT (11.8 40),EU,TF,108.07804629063787,C,0.0,150.28433,29.715668,0.18877998
grid_000010,12.0,40.0,POINT (12 40),EU,TF,111.32820849364259,C,0.0,150.31256,29.687439,0.21108633
grid_000011,12.2,40.0,POINT (12.2 40),EU,TF,117.04108659755465,C,0.0,150.36508,29.634918,0.1995225
grid_000012,12.4,40.0,POINT (12.4 40),EU,TF,126.98895546668074,C,0.0,150.45956,29.540436,0.1838813
grid_000013,12.6,40.0,POINT (12.6 40),EU,TF,128.62289590093098,C,0.0,150.47466,29.525345,0.21546376
grid_000014,12.8,40.0,POINT (12.8 40),EU,TF,131.65916800048913,C,0.0,150.50433,29.495667,0.20779195
grid_000015,13.0,40.0,POINT (13 40),EU,TF,136.81193511361965,C,0.0,150.55522,29.444778,0.2073489
grid_000016,13.2,40.0,POINT (13.2 40),EU,TF,143.85391813884328,C,0.0,150.62537,29.374634,0.20822039
grid_000017,13.4,40.0,POINT (13.4 40),EU,TF,153.89394152334918,C,0.0,150.72778,29.272217,0.20473921
grid_000018,13.6,40.0,POINT (13.6 40),EU,TF,153.24762818554322,C,0.0,150.72064,29.279358,0.205098
grid_000019,13.8,40.0,POINT (13.8 40),EU,TF,147.45457011417975,C,0.0,150.66125,29.338745,0.21252483
grid_000020,14.0,40.0,POINT (14 40),EU,TF,144.01008945301376,C,0.0,150.62679,29.373215,0.19524819
grid_000021,14.2,40.0,POINT (14.2 40),EU,TF,139.7319869705538,C,0.0,150.58372,29.416275,0.20956744
grid_000022,14.4,40.0,POINT (14.4 40),EU,TF,137.43432844851188,C,0.0,150.54327,29.456726,0.21639033
grid_000023,14.6,40.0,POINT (14.6 40),EU,TF,137.27762105245017,C,0.0,150.38867,29.611328,0.22974941
grid_000024,14.8,40.0,POINT (14.8 40),EU,TF,139.26909280641016,C,0.0,140.88068,39.119324,0.16784851
grid_000025,15.0,40.0,POINT (15 40),EU,TF,143.31921309463843,C,0.0,138.84454,41.155457,0.30494928
grid_000026,15.2,40.0,POINT (15.2 40),EU,TF,149.26047540977885,C,0.0,133.46071,46.53929,0.3916868
grid_000027,15.4,40.0,POINT (15.4 40),EU,NF,156.87813651113072,C,0.0,129.57947,50.420532,0.39546707
grid_000028,15.6,40.0,POINT (15.6 40),EU,NF,165.94145349257667,C,0.0,128.05937,51.940628,0.25524533
grid_000029,15.8,40.0,POINT (15.8 40),EU,NF,176.2274779375276,C,0.0,147.60378,32.396225,0.469483
grid_000030,16.0,40.0,POINT (16 40),EU,NF,182.6686520273247,C,0.0,145.14394,34.856064,0.63913304
grid_000031,10.0,40.2,POINT (10 40.2),EU,TF,151.59781583850145,C,0.0,150.68465,29.315353,0.19118258
grid_000032,10.2,40.2,POINT (10.2 40.2),EU,TF,144.345195185459,C,0.0,150.6252,29.374802,0.20493455
grid_000033,10.4,40.2,POINT (10.4 40.2),EU,TF,138.8499596884697,C,0.0,150.5785,29.421494,0.19514783
grid_000034,10.6,40.2,POINT (10.6 40.2),EU,TF,134.36672234466042,C,0.0,150.53519,29.464813,0.1916048
grid_000035,10.8,40.2,POINT (10.8 40.2),EU,TF,128.9935808552613,C,0.0,150.48187,29.518127,0.20209727
grid_000036,11.0,40.2,POINT (11 40.2),EU,TF,126.17657897699905,C,0.0,150.45486,29.545135,0.18302152
grid_000037,11.2,40.2,POINT (11.2 40.2),EU,TF,125.4037316034534,C,0.0,150.44751,29.55249,0.17485605
grid_000038,11.4,40.2,POINT (11.4 40.2),EU,TF,124.96958872221904,C,0.0,150.44304,29.556961,0.18162212
grid_000039,11.6,40.2,POINT (11.6 40.2),EU,TF,126.88586781629374,C,0.0,150.46129,29.538712,0.19868639
grid_000040,11.8,40.2,POINT (11.8 40.2),EU,TF,129.99712463456208,C,0.0,150.49203,29.507965,0.1943598
grid_000041,12.0,40.2,POINT (12 40.2),EU,TF,132.8703831140109,C,0.0,150.52017,29.479828,0.17532341
grid_000042,12.2,40.2,POINT (12.2 40.2),EU,TF,137.67860571627526,C,0.0,150.55919,29.440811,0.21227884
grid_000043,12.4,40.2,POINT (12.4 40.2),EU,TF,149.1011310094924,C,0.0,150.66638,29.333618,0.21133977
grid_000044,12.6,40.2,POINT (12.6 40.2),EU,TF,150.7101874417047,C,0.0,150.68973,29.310272,0.19216807
grid_000045,12.8,40.2,POINT (12.8 40.2),EU,TF,153.30217622381934,C,0.0,150.72432,29.27568,0.19030783
grid_000046,13.0,40.2,POINT (13 40.2),EU,TF,157.736859339019,C,0.0,150.7693,29.230698,0.20658162
grid_000047,13.2,40.2,POINT (13.2 40.2),EU,TF,163.86467730409115,C,0.0,150.82812,29.171875,0.2108858
grid_000048,13.4,40.2,POINT (13.4 40.2),EU,TF,176.08797909991785,C,0.0,150.93578,29.064224,0.21058185
grid_000049,13.6,40.2,POINT (13.6 40.2),EU,TF,175.44166576427895,C,0.0,150.92915,29.070847,0.21467784
grid_000050,13.8,40.2,POINT (13.8 40.2),EU,TF,169.22849231373664,C,0.0,150.82884,29.171158,0.21067786
grid_000051,14.0,40.2,POINT (14 40.2),EU,TF,165.32230959417765,C,0.0,150.74725,29.252747,0.22342476
grid_000052,14.2,40.2,POINT (14.2 40.2),EU,TF,161.5686113480964,C,0.0,150.75996,29.240036,0.20419964
grid_000053,14.4,40.2,POINT (14.4 40.2),EU,TF,159.59143875233036,C,0.0,150.73949,29.260513,0.20575231
grid_000054,14.6,40.2,POINT (14.6 40.2),EU,TF,159.45689896799232,C,0.0,150.64503,29.354965,0.2314317
grid_000055,14.8,40.2,POINT (14.8 40.2),EU,TF,161.16960724899923,C,0.0,150.36627,29.633728,0.21201757
grid_000056,15.0,40.2,POINT (15 40.2),EU,TF,164.6719272805179,C,0.0,135.05655,44.94345,0.29948473
grid_000057,15.2,40.2,POINT (15.2 40.2),EU,SS,169.85317484825794,C,0.0,134.24329,45.756714,0.36991984
grid_000058,15.4,40.2,POINT (15.4 40.2),EU,SS,176.56558519663224,C,0.0,131.85712,48.142883,0.44412053
grid_000059,15.6,40.2,POINT (15.6 40.2),EU,NF,184.64221290371594,C,0.0,137.90083,42.099167,0.45514613
grid_000060,15.8,40.2,POINT (15.8 40.2),EU,NF,193.91263332011653,C,0.0,137.94807,42.051926,0.47022745
grid_000061,16.0,40.2,POINT (16 40.2),EU,NF,203.3534133869033,C,0.0,139.02974,40.97026,0.39523685
grid_000062,10.0,40.4,POINT (10 40.4),EU,TF,171.48792413786344,C,0.0,150.72203,29.27797,0.20006143
grid_000063,10.2,40.4,POINT (10.2 40.4),EU,TF,165.13027896952164,C,0.0,150.67017,29.329834,0.1953699
grid_000064,10.4,40.4,POINT (10.4 40.4),EU,TF,160.36310719421397,C,0.0,150.738,29.261993,0.17528239
grid_000065,10.6,40.4,POINT (10.6 40.4),EU,TF,155.62896851485314,C,0.0,150.74591,29.25409,0.19096938
grid_000066,10.8,40.4,POINT (10.8 40.4),EU,TF,150.46357583519568,C,0.0,150.69427,29.305725,0.20543785
grid_000067,11.0,40.4,POINT (11 40.4),EU,TF,148.32310367366347,C,0.0,150.67288,29.327118,0.18360138
grid_000068,11.2,40.4,POINT (11.2 40.4),EU,TF,147.5967220291745,C,0.0,150.66576,29.334244,0.20972082
grid_000069,11.4,40.4,POINT (11.4 40.4),EU,TF,147.17134367953128,C,0.0,150.66133,29.338669,0.2006582
grid_000070,11.6,40.4,POINT (11.6 40.4),EU,TF,148.78287077675563,C,0.0,150.67754,29.322464,0.18952882
grid_000071,11.8,40.4,POINT (11.8 40.4),EU,TF,151.89412567193853,C,0.0,150.70078,29.299225,0.19480747
grid_000072,12.0,40.4,POINT (12 40.4),EU,TF,154.6016276588215,C,0.0,150.71925,29.280746,0.20768702
grid_000073,12.2,40.4,POINT (12.2 40.4),EU,TF,158.74106594827333,C,0.0,150.73251,29.267487,0.20391172
grid_000074,12.4,40.4,POINT (12.4 40.4),EU,TF,171.2138361759679,A,0.0,145.0968,34.9032,0.18866792
grid_000075,12.6,40.4,POINT (12.6 40.4),EU,TF,172.8290038991056,C,0.0,150.85638,29.143616,0.21360973
grid_000076,12.8,40.4,POINT (12.8 40.4),EU,TF,175.08730425436457,C,0.0,150.91759,29.082413,0.21731094
grid_000077,13.0,40.4,POINT (13 40.4),EU,TF,178.97179285509307,C,0.0,150.95726,29.04274,0.20609081
grid_000078,13.2,40.4,POINT (13.2 40.4),EU,TF,184.37969885913594,C,0.0,151.00203,28.99797,0.2029078
grid_000079,13.4,40.4,POINT (13.4 40.4),EU,TF,198.28275283340642,C,0.0,151.07036,28.929642,0.2036705
grid_000080,13.6,40.4,POINT (13.6 40.4),EU,TF,195.23291031185138,C,0.0,150.99324,29.00676,0.21340957
grid_000081,13.8,40.4,POINT (13.8 40.4),EU,TF,191.1790416627914,C,0.0,150.79977,29.200226,0.2212862
grid_000082,14.0,40.4,POINT (14 40.4),EU,NF,186.79904085540235,C,0.0,138.31488,41.68512,0.1926662
grid_000083,14.2,40.4,POINT (14.2 40.4),EU,TF,183.49497744224098,C,0.0,150.6931,29.3069,0.23354447
grid_000084,14.4,40.4,POINT (14.4 40.4),EU,TF,181.7615688288536,C,0.0,150.72484,29.275162,0.21566369
grid_000085,14.6,40.4,POINT (14.6 40.4),EU,NF,181.64379501440686,C,0.0,138.33841,41.66159,0.23214589
grid_000086,14.8,40.4,POINT (14.8 40.4),EU,TF,183.1447734734505,C,0.0,150.41577,29.584229,0.22689937
grid_000087,15.0,40.4,POINT (15 40.4),EU,NF,186.22535956192613,C,0.0,174.53673,5.463272,0.44350505
grid_000088,15.2,40.4,POINT (15.2 40.4),EU,NF,190.80904621280519,C,0.0,174.16959,5.830414,0.46001875
grid_000089,15.4,40.4,POINT (15.4 40.4),EU,NF,196.7908082629391,C,0.0,137.37553,42.624466,0.24252707
grid_000090,15.6,40.4,POINT (15.6 40.4),EU,NF,204.0476987644658,C,0.0,137.24527,42.75473,0.56490785
grid_000091,15.8,40.4,POINT (15.8 40.4),EU,NF,212.44905550405798,C,0.0,136.60938,43.390625,0.5344696
grid_000092,16.0,40.4,POINT (16 40.4),EU,NF,216.43615196215487,C,0.0,137.13522,42.864777,0.39413172
grid_000093,10.0,40.6,POINT (10 40.6),EU,TF,191.88785504259073,C,0.0,128.01819,51.98181,0.21649468
grid_000094,10.2,40.6,POINT (10.2 40.6),EU,TF,186.24481473161194,C,0.0,127.95302,52.04698,0.16068499
grid_000095,10.4,40.6,POINT (10.4 40.6),EU,TF,182.04395702206529,C,0.0,150.55653,29.443466,0.20228729
grid_000096,10.6,40.6,POINT (10.6 40.6),EU,TF,176.88952702752243,C,0.0,150.86841,29.131592,0.18990535
grid_000097,10.8,40.6,POINT (10.8 40.6),EU,TF,172.34640353316755,C,0.0,150.90105,29.098953,0.1918294
grid_000098,11.0,40.6,POINT (11 40.6),EU,TF,170.48641067211997,C,0.0,150.88626,29.113739,0.17049354
grid_000099,11.2,40.6,POINT (11.2 40.6),EU,TF,169.79044514601227,C,0.0,150.88019,29.119812,0.19809623
grid_000100,11.4,40.6,POINT (11.4 40.6),EU,TF,169.37552744558087,C,0.0,150.87636,29.123642,0.20995238
grid_000101,11.6,40.6,POINT (11.6 40.6),EU,TF,170.67985409892032,C,0.0,150.88777,29.112228,0.19509205
grid_000102,11.8,40.6,POINT (11.8 40.6),EU,TF,173.79110676137543,C,0.0,150.88266,29.11734,0.21663839
grid_000103,12.0,40.6,POINT (12 40.6),EU,TF,176.45239183511615,A,0.0,145.08656,34.913437,0.17609134
grid_000104,12.2,40.6,POINT (12.2 40.6),EU,TF,180.07970865668054,C,0.0,150.87349,29.12651,0.20855427
grid_000105,12.4,40.6,POINT (12.4 40.6),EU,TF,185.22506599157657,C,0.0,150.80644,29.193558,0.21669555
grid_000106,12.6,40.6,POINT (12.6 40.6),EU,SS,194.96888018160823,C,0.0,147.65385,32.346146,0.23109213
grid_000107,12.8,40.6,POINT (12.8 40.6),EU,TF,196.96766248569423,C,0.0,150.91852,29.081482,0.23680295
grid_000108,13.0,40.6,POINT (13 40.6),EU,TF,200.41847728403886,C,0.0,151.07143,28.928574,0.19932438
grid_000109,13.2,40.6,POINT (13.2 40.6),EU,TF,205.24808239798742,C,0.0,151.14767,28.852325,0.23139769
grid_000110,13.4,40.6,POINT (13.4 40.6),EU,TF,220.4782635175897,C,0.0,151.10669,28.89331,0.24146137
grid_000111,13.6,40.6,POINT (13.6 40.6),EU,NF,216.63142327384824,C,0.0,138.21533,41.784668,0.23924085
grid_000112,13.8,40.6,POINT (13.8 40.6),EU,TF,212.72395808247782,C,0.0,150.79126,29.20874,0.22862166
grid_000113,14.0,40.6,POINT (14 40.6),EU,NF,208.42982640796566,C,0.0,138.0657,41.934296,0.23922771
grid_000114,14.2,40.6,POINT (14.2 40.6),EU,NF,205.48260957870042,C,0.0,138.10733,41.89267,0.229308
grid_000115,14.4,40.6,POINT (14.4 40.6),EU,TF,203.9407249986972,C,0.0,150.68857,29.311432,0.22862057
grid_000116,14.6,40.6,POINT (14.6 40.6),EU,NF,203.83607407610137,C,0.0,138.0924,41.907593,0.24466166
grid_000117,14.8,40.6,POINT (14.8 40.6),EU,NF,205.17085659671636,C,0.0,137.9396,42.060394,0.23423278
grid_000118,15.0,40.6,POINT (15 40.6),EU,TF,207.91734536976583,C,0.0,164.86957,15.130432,0.3694654
grid_000119,15.2,40.6,POINT (15.2 40.6),EU,TF,212.02067300992746,C,0.0,155.45583,24.544174,0.2709294
grid_000120,15.4,40.6,POINT (15.4 40.6),EU,NF,217.40400563748253,C,0.0,129.74542,50.254578,0.6398539
grid_000121,15.6,40.6,POINT (15.6 40.6),EU,NF,223.9750402787195,C,0.0,135.49115,44.50885,0.5386714
grid_000122,15.8,40.6,POINT (15.8 40.6),EU,NF,231.63268847737393,C,0.0,139.51639,40.483612,0.3895902
grid_000123,16.0,40.6,POINT (16 40.6),EU,NF,230.917761245561,C,0.0,138.99704,41.00296,0.28724286
grid_000124,10.0,40.8,POINT (10 40.8),EU,TF,212.6511772072219,C,0.0,116.85363,63.14637,0.4463723
grid_000125,10.2,40.8,POINT (10.2 40.8),EU,TF,207.58854582778508,C,0.0,118.005264,61.994736,0.4196049
grid_000126,10.4,40.8,POINT (10.4 40.8),EU,TF,203.52151582191328,C,0.0,119.144516,60.855484,0.33675838
grid_000127,10.6,40.8,POINT (10.6 40.8),EU,TF,198.14838945050386,C,0.0,150.8128,29.187195,0.18216814
grid_000128,10.8,40.8,POINT (10.8 40.8),EU,TF,194.30397524162578,C,0.0,151.08377,28.91623,0.1951145
grid_000129,11.0,40.8,POINT (11 40.8),EU,TF,192.66097563587928,C,0.0,151.07233,28.927673,0.21120861
grid_000130,11.2,40.8,POINT (11.2 40.8),EU,TF,191.98490169355813,C,0.0,151.06699,28.933014,0.19488843
grid_000131,11.4,40.8,POINT (11.4 40.8),EU,TF,191.5815644165692,C,0.0,151.0636,28.936401,0.20686975
grid_000132,11.6,40.8,POINT (11.6 40.8),EU,TF,192.62634173919238,C,0.0,151.07184,28.928162,0.21190116
grid_000133,11.8,40.8,POINT (11.8 40.8),EU,TF,195.68806561133118,C,0.0,151.08667,28.91333,0.19504991
grid_000134,12.0,40.8,POINT (12 40.8),EU,TF,198.38344606520567,C,0.0,151.09653,28.903473,0.20670387
grid_000135,12.2,40.8,POINT (12.2 40.8),EU,TF,201.60711262223666,C,0.0,150.89012,29.109879,0.21056573
grid_000136,12.4,40.8,POINT (12.4 40.8),EU,TF,206.20257347811278,C,0.0,135.84576,44.154236,0.2266492
grid_000137,12.6,40.8,POINT (12.6 40.8),EU,TF,217.12361138954452,C,0.0,136.35788,43.64212,0.27217126
grid_000138,12.8,40.8,POINT (12.8 40.8),EU,TF,218.91493363526016,C,0.0,138.0659,41.934097,0.2697179
grid_000139,13.0,40.8,POINT (13 40.8),EU,TF,222.01578786439836,C,0.0,150.85905,29.140945,0.22501257
grid_000140,13.2,40.8,POINT (13.2 40.8),EU,SS,226.37235137039025,C,0.0,147.83246,32.16754,0.24529058
grid_000141,13.4,40.8,POINT (13.4 40.8),EU,TF,231.91384739629285,C,0.0,151.22679,28.773209,0.24154904
grid_000142,13.6,40.8,POINT (13.6 40.8),EU,TF,238.02859928717515,C,0.0,151.29382,28.706177,0.23558475
grid_000143,13.8,40.8,POINT (13.8 40.8),EU,TF,234.05567972035556,C,0.0,151.02554,28.974457,0.22560264
grid_000144,14.0,40.8,POINT (14 40.8),EU,NF,230.171461637143,C,0.0,137.90671,42.093292,0.23873255
grid_000145,14.2,40.8,POINT (14.2 40.8),EU,NF,227.51397218554516,C,0.0,137.92242,42.077576,0.25569373
grid_000146,14.4,40.8,POINT (14.4 40.8),EU,TF,226.12647930302893,C,0.0,150.7312,29.268799,0.22576609
grid_000147,14.6,40.8,POINT (14.6 40.8),EU,NF,226.03237865503507,C,0.0,137.90146,42.09854,0.24320781
grid_000148,14.8,40.8,POINT (14.8 40.8),EU,NF,227.2332775528267,C,0.0,137.66824,42.331757,0.23650353
grid_000149,15.0,40.8,POINT (15 40.8),EU,NF,229.70886053058572,C,0.0,133.32545,46.674545,0.43257
grid_000150,15.2,40.8,POINT (15.2 40.8),EU,NF,233.41856201148744,C,0.0,131.21405,48.78595,0.5891572
grid_000151,15.4,40.8,POINT (15.4 40.8),EU,NF,238.30473622775847,C,0.0,130.2171,49.782898,0.66908145
grid_000152,15.6,40.8,POINT (15.6 40.8),EU,NF,244.29677802564026,C,0.0,134.51224,45.487762,0.5525164
grid_000153,15.8,40.8,POINT (15.8 40.8),EU,NF,251.31557053581983,C,0.0,140.19162,39.80838,0.40359637
grid_000154,16.0,40.8,POINT (16 40.8),EU,NF,246.5520785923091,C,0.0,139.93147,40.068527,0.27306384
grid_000155,10.0,41.0,POINT (10 41),EU,TF,233.681265985853,C,0.0,114.50221,65.49779,0.3910439
grid_000156,10.2,41.0,POINT (10.2 41),EU,TF,229.0976478540448,C,0.0,115.33473,64.66527,0.4290995
grid_000157,10.4,41.0,POINT (10.4 41),EU,TF,224.77863562821437,C,0.0,119.05339,60.94661,0.29177523
grid_000158,10.6,41.0,POINT (10.6 41),EU,TF,219.40554732522415,C,0.0,150.97408,29.025925,0.21125835
grid_000159,10.8,41.0,POINT (10.8 41),EU,TF,216.3137692797248,C,0.0,151.24963,28.750366,0.2106733
grid_000160,11.0,41.0,POINT (11 41),EU,TF,214.84355281648652,C,0.0,151.24036,28.759644,0.20655051
grid_000161,11.2,41.0,POINT (11.2 41),EU,TF,214.1800923739454,C,0.0,151.23544,28.764557,0.1930448
grid_000162,11.4,41.0,POINT (11.4 41),EU,TF,213.78911842211875,C,0.0,151.23245,28.767548,0.19750753
grid_000163,11.6,41.0,POINT (11.6 41),EU,TF,214.72309228929376,C,0.0,151.23933,28.760666,0.20477757
grid_000164,11.8,41.0,POINT (11.8 41),EU,TF,217.58499989381082,C,0.0,151.26044,28.739563,0.19596651
grid_000165,12.0,41.0,POINT (12 41),EU,TF,220.3710546363588,C,0.0,151.2327,28.767303,0.2184768
grid_000166,12.2,41.0,POINT (12.2 41),EU,TF,223.26891491719,C,0.0,150.86551,29.134491,0.22424257
grid_000167,12.4,41.0,POINT (12.4 41),EU,SS,227.41485419182524,C,0.0,134.75644,45.24356,0.30052269
grid_000168,12.6,41.0,POINT (12.6 41),EU,SS,239.28339248023073,C,0.0,132.73856,47.261444,0.3251314
grid_000169,12.8,41.0,POINT (12.8 41),EU,NF,240.91104507254363,C,0.0,132.8905,47.109497,0.28122455
grid_000170,13.0,41.0,POINT (13 41),EU,NF,243.72389690983024,C,0.0,137.72159,42.27841,0.24838361
grid_000171,13.2,41.0,POINT (13.2 41),EU,NF,247.68725234426887,C,0.0,137.9366,42.0634,0.24510643
grid_000172,13.4,41.0,POINT (13.4 41),EU,TF,252.74697427700895,C,0.0,151.21289,28.78711,0.25399205
grid_000173,13.6,41.0,POINT (13.6 41),EU,TF,259.6453513366874,C,0.0,151.31735,28.682648,0.23050635
grid_000174,13.8,41.0,POINT (13.8 41),EU,TF,255.53772017543966,C,0.0,150.94429,29.05571,0.2441065
grid_000175,14.0,41.0,POINT (14 41),EU,NF,251.99546135331116,C,0.0,137.66663,42.333374,0.25842226
grid_000176,14.2,41.0,POINT (14.2 41),EU,NF,249.57769147189234,C,0.0,137.66765,42.33235,0.24391931
grid_000177,14.4,41.0,POINT (14.4 41),EU,TF,248.31727109449636,C,0.0,150.52449,29.47551,0.24587926
grid_000178,14.6,41.0,POINT (14.6 41),EU,TF,248.2318368342587,C,0.0,148.64258,31.357422,0.46879888
grid_000179,14.8,41.0,POINT (14.8 41),EU,NF,249.3225970022272,C,0.0,149.47266,30.527344,0.47346932
grid_000180,15.0,41.0,POINT (15 41),EU,NF,251.57424764317304,C,0.0,143.357,36.643005,0.4650116
grid_000181,15.2,41.0,POINT (15.2 41),EU,NF,254.95602222579268,C,0.0,137.15042,42.84958,0.46208942
grid_000182,15.4,41.0,POINT (15.4 41),EU,NF,259.42371203541217,C,0.0,132.38402,47.615982,0.42441893
grid_000183,15.6,41.0,POINT (15.6 41),EU,NF,264.92236192845434,C,0.0,131.15997,48.840027,0.27783555
grid_000184,15.8,41.0,POINT (15.8 41),EU,NF,271.3892873125617,C,0.0,137.36682,42.63318,0.25124687
grid_000185,16.0,41.0,POINT (16 41),EU,NF,263.1339126662009,C,0.0,137.49034,42.50966,0.24092619
grid_000186,10.0,41.2,POINT (10 41.2),EU,NF,254.912308351617,C,0.0,119.67824,60.321762,0.24310327
grid_000187,10.2,41.2,POINT (10.2 41.2),EU,TF,250.72977090584513,C,0.0,126.90463,53.095367,0.20626464
grid_000188,10.4,41.2,POINT (10.4 41.2),EU,TF,246.03404083301965,C,0.0,150.93555,29.064453,0.17541394
grid_000189,10.6,41.2,POINT (10.6 41.2),EU,TF,240.89230435180434,C,0.0,151.34593,28.654068,0.21251789
grid_000190,10.8,41.2,POINT (10.8 41.2),EU,TF,238.3615364954864,C,0.0,151.40144,28.598557,0.20603588
grid_000191,11.0,41.2,POINT (11 41.2),EU,TF,237.03211069400558,C,0.0,151.39339,28.606613,0.19457316
grid_000192,11.2,41.2,POINT (11.2 41.2),EU,TF,236.37601785179177,C,0.0,151.38914,28.610855,0.20232177
grid_000193,11.4,41.2,POINT (11.4 41.2),EU,TF,235.99798008690627,C,0.0,151.38654,28.613464,0.2186679
grid_000194,11.6,41.2,POINT (11.6 41.2),EU,TF,236.8418669427327,C,0.0,151.392,28.608002,0.19909024
grid_000195,11.8,41.2,POINT (11.8 41.2),EU,TF,239.481907244262,C,0.0,151.4081,28.591904,0.22284922
grid_000196,12.0,41.2,POINT (12 41.2),EU,TF,242.40004135874977,C,0.0,151.20789,28.792114,0.20860502
grid_000197,12.2,41.2,POINT (12.2 41.2),EU,TF,245.02968455511,C,0.0,160.9828,19.017197,0.2566578
grid_000198,12.4,41.2,POINT (12.4 41.2),EU,TF,248.80207431046728,C,0.0,162.70987,17.29013,0.31675398
grid_000199,12.6,41.2,POINT (12.6 41.2),EU,NF,261.3982147973386,C,0.0,133.2243,46.775696,0.26662788
grid_000200,12.8,41.2,POINT (12.8 41.2),EU,NF,262.94393666051775,C,0.0,137.53189,42.46811,0.26728535
grid_000201,13.0,41.2,POINT (13 41.2),EU,NF,265.5158243487133,C,0.0,137.6947,42.305298,0.26302457
grid_000202,13.2,41.2,POINT (13.2 41.2),EU,TF,269.14769031685773,C,0.0,151.11581,28.884186,0.25410467
grid_000203,13.4,41.2,POINT (13.4 41.2),EU,TF,273.79733874834847,C,0.0,151.07687,28.923126,0.26692736
grid_000204,13.6,41.2,POINT (13.6 41.2),EU,TF,281.38906537173716,C,0.0,142.76822,37.23178,0.35499448
grid_000205,13.8,41.2,POINT (13.8 41.2),EU,TF,277.1353123939534,C,0.0,142.60806,37.391937,0.44920933
grid_000206,14.0,41.2,POINT (14 41.2),EU,TF,273.8823255977524,C,0.0,140.51845,39.481552,0.46089962
grid_000207,14.2,41.2,POINT (14.2 41.2),EU,NF,271.6660741249354,C,0.0,136.79962,43.20038,0.4080507
grid_000208,14.4,41.2,POINT (14.4 41.2),EU,NF,270.512051724643,C,0.0,136.42697,43.57303,0.4969918
grid_000209,14.6,41.2,POINT (14.6 41.2),EU,TF,270.4338631118017,C,0.0,142.96661,37.033386,0.518893
grid_000210,14.8,41.2,POINT (14.8 41.2),EU,NF,271.43243839164137,C,0.0,149.93091,30.069092,0.43099707
grid_000211,15.0,41.2,POINT (15 41.2),EU,NF,273.49597855500036,C,0.0,145.69182,34.30818,0.40138695
grid_000212,15.2,41.2,POINT (15.2 41.2),EU,NF,276.60063933624525,C,0.0,144.46042,35.53958,0.33552933
grid_000213,15.4,41.2,POINT (15.4 41.2),EU,NF,280.71186330678626,C,0.0,137.40222,42.59778,0.22899073
grid_000214,15.6,41.2,POINT (15.6 41.2),EU,TF,285.7861933552525,C,0.0,150.88872,29.111282,0.19265978
grid_000215,15.8,41.2,POINT (15.8 41.2),EU,NF,290.9487786519172,C,0.0,137.50583,42.49417,0.24346665
grid_000216,16.0,41.2,POINT (16 41.2),EU,NF,280.49545687356544,C,0.0,137.46454,42.53546,0.23161045
grid_000217,10.0,41.4,POINT (10 41.4),EU,NF,276.29817090772565,C,0.0,124.98872,55.011276,0.25152338
grid_000218,10.2,41.4,POINT (10.2 41.4),EU,TF,272.4558039591409,C,0.0,130.10133,49.898666,0.21358246
grid_000219,10.4,41.4,POINT (10.4 41.4),EU,TF,267.28772291018765,C,0.0,151.25163,28.748367,0.21157792
grid_000220,10.6,41.4,POINT (10.6 41.4),EU,TF,262.7491184767452,C,0.0,151.5484,28.4516,0.22085059
grid_000221,10.8,41.4,POINT (10.8 41.4),EU,TF,260.4378316222489,C,0.0,151.5391,28.460907,0.18837562
grid_000222,11.0,41.4,POINT (11 41.4),EU,TF,259.2253130340458,C,0.0,151.53308,28.466919,0.21017092
grid_000223,11.2,41.4,POINT (11.2 41.4),EU,TF,258.5726787541488,C,0.0,151.52982,28.470184,0.20290107
grid_000224,11.4,41.4,POINT (11.4 41.4),EU,TF,258.208012300523,C,0.0,151.52779,28.472214,0.2165485
grid_000225,11.6,41.4,POINT (11.6 41.4),EU,TF,258.9772223552794,C,0.0,151.53136,28.468643,0.22429113
grid_000226,11.8,41.4,POINT (11.8 41.4),EU,TF,261.37878526148023,C,0.0,151.5417,28.458298,0.24039333
grid_000227,12.0,41.4,POINT (12 41.4),EU,TF,264.460261873156,C,0.0,151.3148,28.685196,0.24909186
