ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
wsm02413,13.42,43.72,POINT (13.42 43.72),EU,SS,542.0,A,84.99999,95.410706,10.410713,0.70445466
wsm02482,12.57,43.27,POINT (12.57 43.27),EU,NF,477.0,B,117.0,142.23549,25.235489,0.9468924
wsm102226,12.99,43.61,POINT (12.99 43.61),EU,SS,521.0,C,169.0,163.76375,5.236252,0.8715219
wsm108318,11.29,44.01,POINT (11.29 44.01),EU,NF,549.0,C,120.0,132.28731,12.287308,0.90287906
wsm108320,11.36,44.01,POINT (11.36 44.01),EU,NF,549.0,C,154.0,144.15211,9.847885,0.8533331
wsm108321,11.22,44.06,POINT (11.22 44.06),EU,NF,555.0,C,129.0,133.41524,4.4152374,0.8992272
wsm113370,13.35,42.36,POINT (13.35 42.36),EU,NF,397.0,C,151.0,145.11563,5.884369,0.9800321
wsm113458,12.01,44.24,POINT (12.01 44.24),EU,TF,577.0,C,12.0,7.997804,4.002196,0.85123307
wsm113459,13.37,42.33,POINT (13.37 42.33),EU,NF,394.0,C,173.0,142.46329,30.536713,0.8955972
wsm113466,13.35,42.29,POINT (13.35 42.29),EU,NF,389.0,C,134.0,142.63696,8.636963,0.9907846
wsm113469,13.34,42.37,POINT (13.34 42.37),EU,NF,397.0,C,147.0,145.20169,1.7983093,0.97265595
wsm113471,13.39,42.34,POINT (13.39 42.34),EU,NF,396.0,C,153.0,144.44171,8.558289,0.9969882
wsm113472,13.37,42.35,POINT (13.37 42.35),EU,NF,396.0,C,139.0,142.28522,3.2852173,1.0039431
wsm113477,13.33,42.36,POINT (13.33 42.36),EU,NF,396.0,C,165.0,143.94351,21.056488,0.9390972
wsm113483,13.27,42.47,POINT (13.27 42.47),EU,NF,406.0,C,146.0,146.76843,0.7684326,1.0195628
wsm113492,13.39,42.34,POINT (13.39 42.34),EU,NF,396.0,C,143.0,143.74197,0.7419739,0.9948771
wsm113502,13.39,42.31,POINT (13.39 42.31),EU,NS,393.0,C,133.0,140.7453,7.7453003,0.99925965
wsm113506,13.38,42.38,POINT (13.38 42.38),EU,NF,400.0,C,120.0,135.5231,15.523102,0.89905083
wsm113525,13.36,42.51,POINT (13.36 42.51),EU,NF,412.0,C,140.0,145.26218,5.2621765,0.9988804
wsm113529,13.3,42.48,POINT (13.3 42.48),EU,NF,408.0,C,143.0,147.43515,4.43515,1.0185107
wsm113531,13.44,42.34,POINT (13.44 42.34),EU,SS,397.0,C,108.0,131.06808,23.068085,0.88515383
wsm113535,13.42,42.45,POINT (13.42 42.45),EU,NS,408.0,C,159.0,141.6735,17.326508,0.8158259
wsm113540,13.19,42.37,POINT (13.19 42.37),EU,NF,393.0,C,134.0,140.78253,6.7825317,0.95087487
wsm113545,13.24,42.49,POINT (13.24 42.49),EU,NF,407.0,C,133.0,148.01416,15.01416,0.9730626
wsm113549,13.42,42.47,POINT (13.42 42.47),EU,NF,410.0,C,111.00001,132.09705,21.097038,0.85379773
wsm113586,13.21,42.52,POINT (13.21 42.52),EU,NF,409.0,C,138.0,144.45198,6.4519806,1.0103327
wsm113597,13.29,42.53,POINT (13.29 42.53),EU,NF,413.0,C,146.0,143.37823,2.6217651,1.0421321
wsm113627,13.31,42.51,POINT (13.31 42.51),EU,NF,411.0,C,144.0,145.35521,1.3552094,1.0301106
wsm113754,13.49,42.25,POINT (13.49 42.25),EU,NF,389.0,C,145.0,141.10216,3.8978424,0.9924497
wsm113759,13.48,42.23,POINT (13.48 42.23),EU,NF,386.0,C,153.0,140.82178,12.178223,0.98940885
wsm114500,13.36,42.45,POINT (13.36 42.45),EU,NF,406.0,C,134.0,143.07474,9.074738,0.9493966
wsm114745,13.38,42.34,POINT (13.38 42.34),EU,NF,395.0,C,151.0,144.95987,6.0401306,0.9891519
wsm115656,13.41,43.47,POINT (13.41 43.47),EU,SS,515.0,C,154.0,151.17459,2.825409,0.94535804
wsm117151,13.38,43.11,POINT (13.38 43.11),EU,NS,476.0,C,97.0,111.09398,14.093979,0.7753521
wsm118506,12.44,43.56,POINT (12.44 43.56),EU,NF,507.0,C,113.0,129.54074,16.540741,0.9185336
wsm120224,12.61,42.81,POINT (12.61 42.81),EU,NF,428.0,C,176.0,159.59424,16.405762,0.9469338
wsm120299,12.11,44.36,POINT (12.11 44.36),EU,TF,591.0,C,86.0,89.2316,3.231598,0.69035226
wsm120877,12.37,44.14,POINT (12.37 44.14),EU,SS,570.0,C,148.0,147.06569,0.9343109,0.917403
wsm128220,12.03,43.86,POINT (12.03 43.86),EU,NF,535.0,C,115.0,133.66414,18.664139,0.8947392
wsm129876,11.86,43.92,POINT (11.86 43.92),EU,NF,541.0,C,123.0,134.59302,11.593018,0.96138704
wsm129877,11.85,43.92,POINT (11.85 43.92),EU,NF,540.0,C,119.0,135.7676,16.767593,0.945123
wsm129896,11.86,43.93,POINT (11.86 43.93),EU,NF,542.0,C,122.0,134.75201,12.752014,0.9612124
wsm135516,13.2,42.81,POINT (13.2 42.81),EU,NF,440.0,C,124.0,135.3009,11.300903,1.0185924
wsm137318,12.23,44.41,POINT (12.23 44.41),EU,TF,598.0,C,161.0,157.56543,3.4345703,0.8640316
wsm141788,10.49,44.17,POINT (10.49 44.17),EU,SS,570.0,C,110.0,131.90083,21.900833,0.6532657
wsm143580,12.3,43.45,POINT (12.3 43.45),EU,NF,493.0,C,118.0,131.58026,13.580261,0.93723
wsm144225,13.86,43.53,POINT (13.86 43.53),EU,TF,533.0,C,50.999996,23.913588,27.086409,0.8930323
wsm144249,11.05,44.28,POINT (11.05 44.28),EU,TF,580.0,C,165.0,160.1528,4.8471985,0.8195978
wsm144308,10.71,44.42,POINT (10.71 44.42),EU,TF,596.0,C,18.0,6.6366754,11.363325,0.83621657
wsm144623,12.03,43.81,POINT (12.03 43.81),EU,NF,530.0,C,152.0,142.14293,9.857071,0.91075087
wsm144794,13.68,43.48,POINT (13.68 43.48),EU,TF,523.0,C,39.0,20.841578,18.158422,0.9150751
wsm144796,13.82,43.46,POINT (13.82 43.46),EU,TF,525.0,C,28.999998,11.198987,17.80101,0.9239236
wsm145326,13.76,43.53,POINT (13.76 43.53),EU,TF,530.0,C,51.999996,24.715166,27.28483,0.93411696
