ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
wsm02413,13.42,43.72,POINT (13.42 43.72),EU,SS,542.0,A,84.99999,99.83107,14.831078,0.6610203
wsm02482,12.57,43.27,POINT (12.57 43.27),EU,NF,477.0,B,117.0,138.5887,21.5887,0.9293451
wsm102226,12.99,43.61,POINT (12.99 43.61),EU,SS,521.0,C,169.0,162.06197,6.938034,0.9164016
wsm103605,14.74,44.91,POINT (14.74 44.91),EU,SS,684.0,C,179.0,4.270389,5.2703857,0.67362475
wsm108318,11.29,44.01,POINT (11.29 44.01),EU,NF,549.0,C,120.0,134.03648,14.036484,0.9233453
wsm108320,11.36,44.01,POINT (11.36 44.01),EU,NF,549.0,C,154.0,144.9395,9.060501,0.88183606
wsm108321,11.22,44.06,POINT (11.22 44.06),EU,NF,555.0,C,129.0,134.86612,5.8661194,0.9208149
wsm108552,15.85,42.07,POINT (15.85 42.07),EU,TS,368.0,C,124.0,136.08174,12.081741,0.6647514
wsm112192,10.3,44.51,POINT (10.3 44.51),EU,TF,609.0,C,20.0,10.87355,9.12645,0.8478751
wsm112201,10.23,44.5,POINT (10.23 44.5),EU,TF,609.0,C,24.999998,10.494084,14.505914,0.8400781
wsm113370,13.35,42.36,POINT (13.35 42.36),EU,NF,397.0,C,151.0,144.13867,6.861328,1.0101095
wsm113458,12.01,44.24,POINT (12.01 44.24),EU,TF,577.0,C,12.0,8.537267,3.4627333,0.90573
wsm113459,13.37,42.33,POINT (13.37 42.33),EU,NF,394.0,C,173.0,139.26637,33.733627,0.9083232
wsm113466,13.35,42.29,POINT (13.35 42.29),EU,NF,389.0,C,134.0,141.45386,7.4538574,1.0024884
wsm113469,13.34,42.37,POINT (13.34 42.37),EU,NF,397.0,C,147.0,144.05952,2.9404755,0.9988003
wsm113471,13.39,42.34,POINT (13.39 42.34),EU,NF,396.0,C,153.0,143.0532,9.946793,1.0202558
wsm113472,13.37,42.35,POINT (13.37 42.35),EU,NF,396.0,C,139.0,141.28407,2.2840729,1.0298983
wsm113477,13.33,42.36,POINT (13.33 42.36),EU,NF,396.0,C,165.0,142.36963,22.630371,0.964115
wsm113483,13.27,42.47,POINT (13.27 42.47),EU,NF,406.0,C,146.0,145.82741,0.17259216,1.0240614
wsm113492,13.39,42.34,POINT (13.39 42.34),EU,NF,396.0,C,143.0,142.16232,0.837677,1.0403012
wsm113502,13.39,42.31,POINT (13.39 42.31),EU,NS,393.0,C,133.0,138.59294,5.5929413,1.0040253
wsm113506,13.38,42.38,POINT (13.38 42.38),EU,NF,400.0,C,120.0,133.03752,13.037521,0.92802566
wsm113525,13.36,42.51,POINT (13.36 42.51),EU,NF,412.0,C,140.0,144.05725,4.057251,1.0045791
wsm113529,13.3,42.48,POINT (13.3 42.48),EU,NF,408.0,C,143.0,146.29419,3.2941895,1.0280348
wsm113531,13.44,42.34,POINT (13.44 42.34),EU,SS,397.0,C,108.0,128.72305,20.723053,0.91482925
wsm113535,13.42,42.45,POINT (13.42 42.45),EU,NS,408.0,C,159.0,139.40866,19.59134,0.8354134
wsm113540,13.19,42.37,POINT (13.19 42.37),EU,NF,393.0,C,134.0,140.63809,6.638092,0.952038
wsm113545,13.24,42.49,POINT (13.24 42.49),EU,NF,407.0,C,133.0,146.84943,13.849426,0.9863164
wsm113549,13.42,42.47,POINT (13.42 42.47),EU,NF,410.0,C,111.00001,131.47504,20.475029,0.8602204
wsm113586,13.21,42.52,POINT (13.21 42.52),EU,NF,409.0,C,138.0,143.43713,5.437134,1.0039787
wsm113597,13.29,42.53,POINT (13.29 42.53),EU,NF,413.0,C,146.0,142.69641,3.3035889,1.0540247
wsm113627,13.31,42.51,POINT (13.31 42.51),EU,NF,411.0,C,144.0,144.61977,0.61976624,1.0355167
wsm113754,13.49,42.25,POINT (13.49 42.25),EU,NF,389.0,C,145.0,139.61888,5.381119,0.9879112
wsm113759,13.48,42.23,POINT (13.48 42.23),EU,NF,386.0,C,153.0,139.24019,13.759811,0.9733333
wsm114500,13.36,42.45,POINT (13.36 42.45),EU,NF,406.0,C,134.0,142.19373,8.193726,0.9797449
wsm114745,13.38,42.34,POINT (13.38 42.34),EU,NF,395.0,C,151.0,142.76761,8.232391,1.0185146
wsm115656,13.41,43.47,POINT (13.41 43.47),EU,SS,515.0,C,154.0,148.96066,5.039337,0.98705864
wsm117151,13.38,43.11,POINT (13.38 43.11),EU,NS,476.0,C,97.0,104.28807,7.2880707,0.83208185
wsm118506,12.44,43.56,POINT (12.44 43.56),EU,NF,507.0,C,113.0,130.18741,17.187408,0.9364706
wsm120224,12.61,42.81,POINT (12.61 42.81),EU,NF,428.0,C,176.0,155.70992,20.290085,0.91472846
wsm120299,12.11,44.36,POINT (12.11 44.36),EU,TF,591.0,C,86.0,86.93507,0.9350662,0.6976982
wsm120877,12.37,44.14,POINT (12.37 44.14),EU,SS,570.0,C,148.0,146.99823,1.00177,0.92000175
wsm128220,12.03,43.86,POINT (12.03 43.86),EU,NF,535.0,C,115.0,134.65125,19.651245,0.8496652
wsm129876,11.86,43.92,POINT (11.86 43.92),EU,NF,541.0,C,123.0,135.04713,12.047134,0.93764305
wsm129877,11.85,43.92,POINT (11.85 43.92),EU,NF,540.0,C,119.0,136.48378,17.48378,0.9363711
wsm129896,11.86,43.93,POINT (11.86 43.93),EU,NF,542.0,C,122.0,134.8357,12.835693,0.9480091
wsm134393,10.36,44.82,POINT (10.36 44.82),EU,NF,643.0,C,93.00001,112.809,19.80899,0.6481169
wsm135516,13.2,42.81,POINT (13.2 42.81),EU,NF,440.0,C,124.0,134.1113,10.111298,1.0235969
wsm136940,11.26,44.9,POINT (11.26 44.9),EU,TF,648.0,C,10.999999,7.674604,3.325395,0.79623973
wsm136948,11.44,44.89,POINT (11.44 44.89),EU,TF,647.0,C,19.0,10.910097,8.089903,0.83475435
wsm136951,11.32,44.95,POINT (11.32 44.95),EU,TF,654.0,C,35.0,10.609623,24.390377,0.7605612
wsm136970,11.49,44.81,POINT (11.49 44.81),EU,TF,638.0,C,27.0,11.97711,15.02289,0.857411
wsm137168,11.15,44.92,POINT (11.15 44.92),EU,TF,650.0,C,13.999999,6.7525926,7.2474065,0.78462666
wsm137172,11.02,44.9,POINT (11.02 44.9),EU,TF,649.0,C,17.0,6.835028,10.164972,0.8479024
wsm137173,10.95,44.84,POINT (10.95 44.84),EU,TF,642.0,C,16.0,7.191997,8.808002,0.8421032
wsm137318,12.23,44.41,POINT (12.23 44.41),EU,TF,598.0,C,161.0,159.47974,1.5202637,0.86430234
wsm141788,10.49,44.17,POINT (10.49 44.17),EU,SS,570.0,C,110.0,131.53958,21.539581,0.8292551
wsm143580,12.3,43.45,POINT (12.3 43.45),EU,NF,493.0,C,118.0,131.45389,13.453888,0.9611112
